trip_id,vendor_id,base_inr,km_inr,wait_inr,total_inr
T000000,V02,193,283,59,535
T000001,V02,184,295,67,546
T000002,V06,189,252,22,463
T000003,V11,162,123,52,337
T000004,V11,169,524,61,754
T000005,V01,175,291,58,524
T000006,V10,178,657,25,860
T000007,V11,129,142,68,339
T000008,V02,142,183,30,355
T000009,V03,178,298,50,526
T000010,V08,142,459,35,636
T000011,V03,122,335,57,514
T000012,V04,124,609,68,801
T000013,V01,198,530,29,757
T000014,V08,172,404,58,634
T000015,V01,192,450,41,683
T000016,V09,156,473,63,692
T000017,V05,172,630,51,853
T000018,V06,149,445,61,655
T000019,V12,166,194,39,399
T997874,V01,185,183,35,403
T000021,V12,158,229,36,423
T000022,V05,138,511,55,704
T000023,V03,130,311,43,484
T000024,V09,150,446,24,620
T000025,V05,138,611,37,786
T000026,V04,162,251,27,440
T000027,V03,137,175,40,352
T000028,V01,193,470,11,674
T000029,V07,165,115,51,331
T000030,V07,187,309,161,657
T000031,V07,165,267,45,477
T000032,V03,198,486,59,743
T000033,V07,130,300,170,600
T000034,V04,190,553,65,808
T000035,V12,150,148,67,365
T000036,V10,173,407,57,637
T000037,V10,143,400,35,578
T000038,V03,131,392,43,566
T000039,V04,156,207,48,411
T000040,V06,174,573,49,796
T000041,V10,174,458,22,654
T000042,V09,179,312,56,547
T000043,V04,136,239,67,442
T000044,V09,163,444,26,633
T000045,V09,191,411,53,655
T000046,V09,150,204,66,420
T000047,V12,155,251,11,417
T000048,V04,131,410,33,574
T999151,V04,147,121,59,327
T000050,V02,170,649,39,858
T000051,V10,160,430,34,624
T000052,V04,170,146,57,373
T000053,V01,150,265,33,448
T000054,V09,129,564,30,723
T000055,V10,170,431,27,628
T000056,V10,197,321,14,532
T000057,V02,191,573,48,812
T000058,V12,121,404,38,563
T000059,V09,163,453,68,684
T000060,V08,182,355,16,553
T000061,V04,173,261,67,501
T000062,V05,177,566,52,795
T000063,V04,176,262,26,464
T000064,V05,186,418,39,643
T000065,V07,199,591,41,831
T000066,V05,152,441,39,632
T000067,V09,136,258,36,430
T000068,V11,143,241,24,408
T000069,V02,148,148,32,328
T000070,V05,123,652,69,844
