trip_id,reason_code,minutes,recorded_at
T000013,WEATHER,15,1781923500000
T000023,GATE_HOLD,17,1783165620000
T000028,TRAFFIC,41,1788019860000
T000031,GATE_HOLD,31,1785715260000
T000033,WEATHER,27,1782863820000
T000040,TRAFFIC,14,1787042640000
T000041,GATE_HOLD,6,1781955360000
T000044,GATE_HOLD,28,1781773080000
T000054,WEATHER,34,1787616240000
T000056,TRAFFIC,28,1784105880000
T000057,TRAFFIC,43,1781892780000
T000058,TRAFFIC,14,1783871040000
T000063,DRIVER_LATE,45,1784679300000
T000065,TRAFFIC,17,1780832820000
T000084,WEATHER,20,1785253800000
T000093,VEHICLE_BREAKDOWN,37,1780934820000
T000098,WEATHER,32,1787529720000
T000106,GATE_HOLD,29,1785110340000
T000115,WEATHER,28,1783295880000
T000127,DRIVER_LATE,9,1781998740000
T000132,WEATHER,6,1787992560000
T000147,GATE_HOLD,7,1783352220000
T000149,DRIVER_LATE,11,1781955660000
T000157,WEATHER,42,1782583920000
T000180,WEATHER,43,1783188780000
T000187,DRIVER_LATE,34,1786752240000
T000194,DRIVER_LATE,43,1787357580000
T000197,DRIVER_LATE,24,1786982040000
T000217,VEHICLE_BREAKDOWN,34,1783699440000
T000227,TRAFFIC,22,1781308320000
T000233,GATE_HOLD,12,1785282120000
T000239,WEATHER,29,1786179540000
T000242,DRIVER_LATE,7,1781890620000
T000243,TRAFFIC,23,1781135580000
T000244,GATE_HOLD,25,1782647700000
T000252,GATE_HOLD,14,1785174240000
T000256,VEHICLE_BREAKDOWN,42,1782821520000
T000258,DRIVER_LATE,35,1781913900000
T000270,TRAFFIC,22,1784364720000
T000272,DRIVER_LATE,35,1788264300000
T000280,DRIVER_LATE,44,1782465240000
T000281,VEHICLE_BREAKDOWN,21,1786470660000
T000285,VEHICLE_BREAKDOWN,17,1784018820000
T000291,WEATHER,15,1787960700000
T000310,VEHICLE_BREAKDOWN,15,1788219900000
T000312,VEHICLE_BREAKDOWN,43,1784538780000
T000313,WEATHER,18,1783241280000
T000315,DRIVER_LATE,41,1781514660000
T000324,VEHICLE_BREAKDOWN,30,1785067200000
T000325,GATE_HOLD,31,1781611260000
T000327,DRIVER_LATE,20,1786729800000
T000345,GATE_HOLD,31,1788231660000
T000354,DRIVER_LATE,42,1782389520000
T000359,WEATHER,28,1783187880000
T000372,WEATHER,10,1785757200000
T000384,GATE_HOLD,19,1783597740000
T000394,VEHICLE_BREAKDOWN,17,1784515620000
T000395,GATE_HOLD,19,1786535340000
T000402,VEHICLE_BREAKDOWN,23,1786549980000
T000406,WEATHER,15,1788111900000
T000431,VEHICLE_BREAKDOWN,38,1783642080000
T000433,WEATHER,16,1784915160000
T000435,GATE_HOLD,13,1787442180000
T000438,DRIVER_LATE,39,1781114940000
T000451,DRIVER_LATE,12,1783784520000
T000465,VEHICLE_BREAKDOWN,32,1782637320000
T000472,TRAFFIC,25,1784073300000
T000491,DRIVER_LATE,11,1785120060000
T000526,GATE_HOLD,20,1781625000000
T000527,WEATHER,40,1781601000000
T000535,GATE_HOLD,19,1781081340000
T000549,GATE_HOLD,23,1786722780000
T000550,DRIVER_LATE,44,1783008840000
T000563,VEHICLE_BREAKDOWN,43,1784851980000
T000568,DRIVER_LATE,38,1788264480000
T000569,TRAFFIC,8,1784331480000
T000579,TRAFFIC,33,1783706580000
T000583,WEATHER,36,1783771560000
T000590,WEATHER,14,1784882640000
T000591,DRIVER_LATE,33,1780920180000
T000596,TRAFFIC,13,1787485380000
T000610,GATE_HOLD,11,1788435660000
T000612,WEATHER,13,1786610580000
T000613,VEHICLE_BREAKDOWN,45,1782908100000
T000623,TRAFFIC,18,1788338880000
T000637,WEATHER,42,1783447920000
T000663,TRAFFIC,43,1786205580000
T000674,WEATHER,8,1786808280000
T000682,DRIVER_LATE,14,1781826240000
T000694,WEATHER,7,1786491420000
T000696,GATE_HOLD,26,1784217360000
T000701,WEATHER,11,1786437660000
T000704,VEHICLE_BREAKDOWN,26,1781513760000
T000720,WEATHER,20,1785541800000
T000723,GATE_HOLD,35,1785369900000
T000747,DRIVER_LATE,28,1788177480000
T000765,TRAFFIC,41,1781107860000
T000781,TRAFFIC,39,1783440540000
T000792,VEHICLE_BREAKDOWN,39,1785575340000
T000796,VEHICLE_BREAKDOWN,43,1785543180000
T000799,WEATHER,13,1784245380000
T000808,TRAFFIC,40,1782403800000
T000810,WEATHER,29,1785081540000
T000812,TRAFFIC,6,1783931760000
T000815,WEATHER,22,1782690720000
T000817,VEHICLE_BREAKDOWN,22,1785714720000
T000836,DRIVER_LATE,6,1781825760000
T000840,TRAFFIC,12,1787672520000
T000841,DRIVER_LATE,19,1782604140000
T000844,TRAFFIC,41,1785726660000
T000846,TRAFFIC,23,1783857180000
T000847,WEATHER,38,1783415280000
T000861,TRAFFIC,20,1785887400000
T000862,DRIVER_LATE,9,1782257940000
T000864,GATE_HOLD,35,1785899100000
T000873,TRAFFIC,29,1785110340000
T000882,TRAFFIC,18,1785023280000
T000885,WEATHER,24,1781319240000
T000886,GATE_HOLD,26,1784044560000
T000889,WEATHER,28,1784105880000
T000892,WEATHER,12,1782517320000
T000898,WEATHER,45,1782231300000
T000919,VEHICLE_BREAKDOWN,10,1784796000000
T000921,TRAFFIC,45,1782184500000
T000929,WEATHER,9,1788363540000
T000935,WEATHER,28,1782647880000
T000940,VEHICLE_BREAKDOWN,18,1784044080000
T000943,WEATHER,33,1786377780000
T000946,GATE_HOLD,23,1784044380000
T000949,WEATHER,27,1781711820000
T000952,TRAFFIC,44,1783527240000
T000958,WEATHER,37,1786784820000
T000966,DRIVER_LATE,30,1785888000000
T000980,DRIVER_LATE,14,1785426240000
T000982,WEATHER,36,1786676760000
T000989,VEHICLE_BREAKDOWN,12,1783586520000
T000998,GATE_HOLD,15,1786783500000
T001017,DRIVER_LATE,12,1781221320000
T001026,DRIVER_LATE,19,1785167340000
T001035,DRIVER_LATE,12,1784364120000
T001040,GATE_HOLD,11,1782528060000
T001046,GATE_HOLD,23,1784130780000
T001055,GATE_HOLD,43,1783588380000
T001057,VEHICLE_BREAKDOWN,43,1788232380000
T001066,TRAFFIC,18,1784908080000
T001069,DRIVER_LATE,19,1786610940000
T001070,TRAFFIC,37,1784203620000
T001078,WEATHER,6,1787441760000
T001083,VEHICLE_BREAKDOWN,25,1781232900000
T001086,GATE_HOLD,20,1786611000000
T001094,GATE_HOLD,25,1781783700000
T001095,WEATHER,12,1787247720000
T001096,VEHICLE_BREAKDOWN,30,1786816800000
T001098,WEATHER,25,1785844500000
T001101,TRAFFIC,6,1782581760000
T001104,VEHICLE_BREAKDOWN,36,1787130360000
T001112,WEATHER,36,1782842760000
T001117,VEHICLE_BREAKDOWN,43,1781482380000
T001119,VEHICLE_BREAKDOWN,16,1788018360000
T001123,GATE_HOLD,29,1782777540000
T001126,WEATHER,39,1781885340000
T001130,GATE_HOLD,6,1783964160000
T001132,WEATHER,28,1781600280000
T001139,TRAFFIC,22,1785066720000
T001156,TRAFFIC,42,1782663120000
T001157,VEHICLE_BREAKDOWN,8,1787960280000
T001161,WEATHER,30,1787673600000
T001167,GATE_HOLD,45,1787357700000
T001175,WEATHER,33,1783900980000
T001184,TRAFFIC,37,1782756420000
T001186,TRAFFIC,15,1783439100000
T001187,WEATHER,25,1781664900000
T001194,TRAFFIC,28,1783166280000
T001206,GATE_HOLD,44,1788048840000
T001207,GATE_HOLD,35,1786017900000
T001216,WEATHER,41,1781320260000
T001232,VEHICLE_BREAKDOWN,25,1783727700000
T001244,DRIVER_LATE,21,1784850660000
T001250,WEATHER,14,1787820240000
T001252,VEHICLE_BREAKDOWN,10,1783251600000
T001259,WEATHER,8,1784043480000
T001284,GATE_HOLD,41,1784995860000
T001289,TRAFFIC,43,1786983180000
T001294,VEHICLE_BREAKDOWN,20,1783824600000
T001300,VEHICLE_BREAKDOWN,22,1782409920000
T001310,WEATHER,24,1783500840000
T001315,TRAFFIC,23,1786989180000
T001320,VEHICLE_BREAKDOWN,15,1781912700000
T001324,DRIVER_LATE,24,1781319240000
T001330,WEATHER,36,1785585960000
T001336,VEHICLE_BREAKDOWN,36,1781319960000
T001363,DRIVER_LATE,29,1785034740000
T001370,VEHICLE_BREAKDOWN,44,1788480840000
T001372,WEATHER,13,1781624580000
T001385,DRIVER_LATE,34,1782723840000
T001387,GATE_HOLD,28,1787453880000
T001403,WEATHER,42,1785975120000
T001404,GATE_HOLD,34,1783847040000
T001411,VEHICLE_BREAKDOWN,36,1783566360000
T001418,VEHICLE_BREAKDOWN,15,1787586300000
T001431,TRAFFIC,11,1786808460000
T001435,DRIVER_LATE,16,1785606360000
T001451,GATE_HOLD,20,1785952200000
T001453,TRAFFIC,45,1781540100000
T001457,WEATHER,11,1787366460000
T001463,WEATHER,33,1787076180000
T001464,DRIVER_LATE,19,1781740140000
T001467,TRAFFIC,28,1782518280000
T001477,VEHICLE_BREAKDOWN,20,1786967400000
T001478,WEATHER,6,1784590560000
T001493,VEHICLE_BREAKDOWN,15,1783532700000
T001509,DRIVER_LATE,34,1782032640000
T001511,WEATHER,40,1787443800000
T001516,GATE_HOLD,23,1782517980000
T001524,VEHICLE_BREAKDOWN,6,1787884560000
T001525,VEHICLE_BREAKDOWN,44,1783599240000
T001531,GATE_HOLD,20,1788177000000
T001541,DRIVER_LATE,45,1787184900000
T001544,DRIVER_LATE,8,1785166680000
T001555,DRIVER_LATE,43,1785154380000
T001563,WEATHER,15,1783295100000
T001567,TRAFFIC,7,1788536220000
