trip_id,employee_id,rating,comment,language
T000008,E01464,4,"Driver samayaniki vachadu, baagundi",te
T000009,E00931,5,"Cab samayakke bantu, chennagitru",kn
T000010,E03810,3,"Driver was punctual and polite",en
T000011,E03549,5,"Driver was punctual and polite",en
T000015,E03962,4,"Vandi sariyana neratthil vanthathu",ta
T000019,E02785,3,"Driver was punctual and polite",en
T000020,E01757,4,"Driver was punctual and polite",en
T000021,E02533,3,"Driver was punctual and polite",en
T000032,E00407,3,"Driver was punctual and polite",en
T000044,E03543,3,"Cab samayakke bantu, chennagitru",kn
T000049,E02671,3,"Driver samayaniki vachadu, baagundi",te
T000051,E03269,3,"Driver was punctual and polite",en
T000054,E00436,2,"Cab bahut late tha, koi soochna nahi mili",hi
T000055,E01321,3,"Driver was punctual and polite",en
T000058,E03855,3,"Driver was punctual and polite",en
T000060,E00768,3,"Cab samayakke bantu, chennagitru",kn
T000062,E00250,5,"Driver was punctual and polite",en
T000063,E02032,2,"Waited forty minutes with no update",en
T000068,E00925,5,"Driver was punctual and polite",en
T000069,E00626,3,"Driver was punctual and polite",en
T000073,E02262,5,"Driver samayaniki vachadu, baagundi",te
T000074,E01946,3,"Driver was punctual and polite",en
T000077,E02674,5,"Driver was punctual and polite",en
T000079,E01238,5,"Driver samayaniki vachadu, baagundi",te
T000080,E01466,5,"Vandi sariyana neratthil vanthathu",ta
T000081,E00958,3,"Driver was punctual and polite",en
T000090,E03482,4,"Driver was punctual and polite",en
T000091,E00793,4,"Driver was punctual and polite",en
T000094,E01804,4,"Driver was punctual and polite",en
T000100,E01078,3,"Driver was punctual and polite",en
T000109,E01057,4,"Vandi sariyana neratthil vanthathu",ta
T000110,E03725,3,"Driver was punctual and polite",en
T000120,E00413,3,"Vandi sariyana neratthil vanthathu",ta
T000128,E03819,3,"Driver samayaniki vachadu, baagundi",te
T000129,E00091,3,"Driver was punctual and polite",en
T000132,E03620,3,"Driver was punctual and polite",en
T000133,E00536,4,"Cab samayakke bantu, chennagitru",kn
T000134,E00209,3,"Driver was punctual and polite",en
T000135,E01631,4,"Cab samayakke bantu, chennagitru",kn
T000138,E01377,5,"Cab samayakke bantu, chennagitru",kn
T000141,E03415,4,"Driver samayaniki vachadu, baagundi",te
