employee_id,site_id,shift,date,expected
E03928,SITE4,S1,1780790400000,1
E00428,SITE1,S1,1780790400000,1
E03508,SITE1,S3,1780790400000,1
E02067,SITE4,S1,1780790400000,1
E02625,SITE1,S1,1780790400000,1
E03098,SITE3,S2,1780790400000,1
E01403,SITE1,S2,1780790400000,1
E02193,SITE3,S2,1780790400000,1
E03247,SITE4,S3,1780790400000,1
E03177,SITE2,S3,1780790400000,1
E01939,SITE3,S3,1780790400000,1
E03551,SITE1,S1,1780790400000,1
E90796,SITE3,S1,1780790400000,1
E03163,SITE3,S1,1780790400000,1
E01874,SITE3,S1,1780790400000,1
E90744,SITE3,S1,1780790400000,1
E01755,SITE2,S1,1780790400000,1
E01451,SITE2,S3,1780790400000,1
E00457,SITE1,S2,1780790400000,1
E00952,SITE3,S1,1780790400000,1
E00537,SITE2,S1,1780790400000,1
E02731,SITE4,S3,1780790400000,1
E02862,SITE1,S2,1780790400000,1
E00587,SITE3,S1,1780790400000,1
E02212,SITE2,S3,1780790400000,1
E02747,SITE1,S2,1780790400000,1
E02354,SITE2,S3,1780790400000,1
E90524,SITE2,S2,1780790400000,1
E00293,SITE3,S2,1780790400000,1
E03331,SITE4,S2,1780790400000,1
E03475,SITE3,S1,1780790400000,1
E00522,SITE1,S1,1780790400000,1
E00780,SITE4,S2,1780790400000,1
E01522,SITE3,S3,1780790400000,1
E03280,SITE2,S1,1780790400000,1
E01774,SITE4,S2,1780790400000,1
E03657,SITE1,S2,1780790400000,1
E03952,SITE4,S2,1780790400000,1
E01172,SITE1,S3,1780790400000,1
E02328,SITE4,S2,1780790400000,1
E03986,SITE2,S1,1780876800000,1
E01055,SITE3,S1,1780876800000,1
E00049,SITE4,S3,1780876800000,1
E00609,SITE4,S3,1780876800000,1
E00486,SITE4,S2,1780876800000,1
E00111,SITE3,S3,1780876800000,1
E03146,SITE1,S1,1780876800000,1
E03305,SITE1,S1,1780876800000,1
E02221,SITE4,S1,1780876800000,1
E00479,SITE4,S1,1780876800000,1
E02924,SITE2,S1,1780876800000,1
E00681,SITE4,S2,1780876800000,1
E02457,SITE2,S1,1780876800000,1
E00784,SITE1,S3,1780876800000,1
E00506,SITE1,S2,1780876800000,1
E01492,SITE2,S1,1780876800000,1
E03436,SITE4,S1,1780876800000,1
E02436,SITE1,S1,1780876800000,1
E03364,SITE4,S1,1780876800000,1
E02182,SITE2,S3,1780876800000,1
E03639,SITE2,S2,1780876800000,1
E00533,SITE2,S1,1780876800000,1
E03507,SITE2,S2,1780876800000,1
E02608,SITE4,S1,1780876800000,1
E03612,SITE2,S2,1780876800000,1
E00081,SITE2,S2,1780876800000,1
E02947,SITE2,S3,1780876800000,1
E01210,SITE1,S2,1780876800000,1
E00913,SITE3,S1,1780876800000,1
E03666,SITE1,S3,1780876800000,1
E02286,SITE3,S1,1780876800000,1
E03095,SITE3,S1,1780876800000,1
E90785,SITE1,S1,1780876800000,1
E00922,SITE1,S1,1780876800000,1
E02784,SITE3,S1,1780876800000,1
E02504,SITE4,S2,1780876800000,1
E01745,SITE4,S2,1780876800000,1
E03883,SITE3,S3,1780876800000,1
E00076,SITE1,S3,1780876800000,1
E03271,SITE3,S1,1780876800000,1
E03707,SITE2,S3,1780963200000,1
E02341,SITE1,S3,1780963200000,1
E01369,SITE4,S2,1780963200000,1
E02165,SITE3,S2,1780963200000,1
E00570,SITE2,S2,1780963200000,1
E03323,SITE2,S2,1780963200000,1
E02234,SITE4,S2,1780963200000,1
E00382,SITE4,S2,1780963200000,1
E02659,SITE4,S1,1780963200000,1
E00877,SITE3,S3,1780963200000,1
E01689,SITE2,S3,1780963200000,1
E00136,SITE4,S3,1780963200000,1
E02379,SITE4,S2,1780963200000,1
E01353,SITE4,S2,1780963200000,1
E00559,SITE2,S3,1780963200000,1
E03803,SITE3,S2,1780963200000,1
E00107,SITE2,S1,1780963200000,1
E01244,SITE4,S2,1780963200000,1
E00275,SITE4,S1,1780963200000,1
E02859,SITE2,S2,1780963200000,1
E00317,SITE1,S2,1780963200000,1
E02354,SITE2,S1,1780963200000,1
E02476,SITE2,S3,1780963200000,1
E01122,SITE1,S2,1780963200000,1
E01281,SITE1,S2,1780963200000,1
E00494,SITE1,S2,1780963200000,1
E01381,SITE1,S3,1780963200000,1
E03113,SITE1,S2,1780963200000,1
E03456,SITE2,S2,1780963200000,1
E01604,SITE3,S3,1780963200000,1
E00283,SITE1,S1,1780963200000,1
E03189,SITE3,S2,1780963200000,1
E00331,SITE3,S1,1780963200000,1
E01362,SITE1,S1,1780963200000,1
E00725,SITE2,S3,1780963200000,1
E03535,SITE3,S3,1780963200000,1
E02945,SITE1,S1,1780963200000,1
E00734,SITE3,S3,1780963200000,1
E01617,SITE4,S2,1780963200000,1
E03933,SITE3,S2,1780963200000,1
E00140,SITE3,S2,1781049600000,1
E03466,SITE3,S1,1781049600000,1
E02486,SITE1,S3,1781049600000,1
E01005,SITE4,S1,1781049600000,1
E01478,SITE1,S2,1781049600000,1
E90643,SITE4,S1,1781049600000,1
E03627,SITE2,S2,1781049600000,1
E00513,SITE1,S1,1781049600000,1
E02397,SITE2,S1,1781049600000,1
E90231,SITE1,S3,1781049600000,1
E03780,SITE4,S2,1781049600000,1
E03157,SITE4,S1,1781049600000,1
E01104,SITE3,S3,1781049600000,1
E02373,SITE3,S3,1781049600000,1
E03860,SITE2,S2,1781049600000,1
E03915,SITE4,S3,1781049600000,1
E00308,SITE3,S2,1781049600000,1
E01264,SITE4,S2,1781049600000,1
E90219,SITE4,S2,1781049600000,1
E00472,SITE4,S3,1781049600000,1
E02360,SITE1,S2,1781049600000,1
E03052,SITE3,S3,1781049600000,1
E00637,SITE1,S1,1781049600000,1
E02952,SITE2,S2,1781049600000,1
E00001,SITE4,S3,1781049600000,1
E01818,SITE1,S1,1781049600000,1
E03619,SITE4,S3,1781049600000,1
E00909,SITE1,S2,1781049600000,1
E02962,SITE2,S1,1781049600000,1
E00782,SITE1,S2,1781049600000,1
E00642,SITE2,S2,1781049600000,1
E00166,SITE3,S1,1781049600000,1
E02731,SITE3,S2,1781049600000,1
E00590,SITE4,S1,1781049600000,1
E02303,SITE1,S3,1781049600000,1
E01387,SITE4,S2,1781049600000,1
E01100,SITE1,S3,1781049600000,1
E02086,SITE1,S1,1781049600000,1
E01195,SITE4,S1,1781049600000,1
E03605,SITE1,S1,1781049600000,1
E01846,SITE1,S2,1781136000000,1
E02568,SITE2,S1,1781136000000,1
E01145,SITE2,S3,1781136000000,1
E02027,SITE1,S2,1781136000000,1
E02831,SITE3,S1,1781136000000,1
E00672,SITE4,S1,1781136000000,1
E90840,SITE1,S3,1781136000000,1
E03144,SITE1,S1,1781136000000,1
E02944,SITE3,S3,1781136000000,1
E02227,SITE3,S1,1781136000000,1
E01087,SITE2,S3,1781136000000,1
E02089,SITE2,S1,1781136000000,1
E02268,SITE4,S1,1781136000000,1
E01976,SITE4,S3,1781136000000,1
E03764,SITE2,S2,1781136000000,1
E02771,SITE3,S1,1781136000000,1
E03935,SITE2,S3,1781136000000,1
E03344,SITE4,S2,1781136000000,1
E01512,SITE4,S3,1781136000000,1
E00097,SITE1,S3,1781136000000,1
E00656,SITE2,S2,1781136000000,1
E01472,SITE3,S2,1781136000000,1
E02963,SITE4,S1,1781136000000,1
E02604,SITE3,S3,1781136000000,1
E03268,SITE3,S2,1781136000000,1
E02414,SITE3,S1,1781136000000,1
E03319,SITE4,S2,1781136000000,1
E01460,SITE1,S1,1781136000000,1
E01184,SITE1,S1,1781136000000,1
E03896,SITE4,S1,1781136000000,1
E00531,SITE2,S1,1781136000000,1
E01260,SITE4,S3,1781136000000,1
E90931,SITE4,S1,1781136000000,1
E01712,SITE3,S1,1781136000000,1
E03350,SITE1,S1,1781136000000,1
E01698,SITE1,S3,1781136000000,1
E00861,SITE2,S1,1781136000000,1
E00501,SITE3,S3,1781136000000,1
E02862,SITE3,S1,1781136000000,1
E01548,SITE4,S3,1781136000000,1
E02632,SITE3,S3,1781222400000,1
E03244,SITE3,S2,1781222400000,1
E03388,SITE3,S3,1781222400000,1
E01295,SITE1,S1,1781222400000,1
E01329,SITE1,S1,1781222400000,1
E90748,SITE4,S1,1781222400000,1
E03461,SITE2,S1,1781222400000,1
E90882,SITE3,S3,1781222400000,1
E01546,SITE1,S2,1781222400000,1
E01960,SITE2,S1,1781222400000,1
E01159,SITE3,S1,1781222400000,1
E00160,SITE1,S3,1781222400000,1
E00512,SITE4,S1,1781222400000,1
E03110,SITE4,S3,1781222400000,1
E03142,SITE3,S2,1781222400000,1
E03683,SITE2,S1,1781222400000,1
E90836,SITE4,S1,1781222400000,1
E00925,SITE3,S2,1781222400000,1
E03330,SITE1,S3,1781222400000,1
E01533,SITE4,S1,1781222400000,1
E02279,SITE1,S2,1781222400000,1
E01116,SITE1,S1,1781222400000,1
E00551,SITE1,S1,1781222400000,1
E01752,SITE2,S1,1781222400000,1
E01998,SITE3,S1,1781222400000,1
E01941,SITE4,S2,1781222400000,1
E01408,SITE1,S3,1781222400000,1
E00974,SITE1,S3,1781222400000,1
E03456,SITE3,S1,1781222400000,1
E03705,SITE4,S3,1781222400000,1
E03496,SITE3,S1,1781222400000,1
E03532,SITE2,S1,1781222400000,1
E03056,SITE2,S3,1781222400000,1
E02223,SITE4,S1,1781222400000,1
E02174,SITE4,S3,1781222400000,1
E03743,SITE4,S1,1781222400000,1
E01179,SITE3,S3,1781222400000,1
E02413,SITE1,S3,1781222400000,1
E00596,SITE4,S3,1781222400000,1
E01153,SITE1,S3,1781222400000,1
E00295,SITE1,S2,1781308800000,1
E02199,SITE2,S1,1781308800000,1
E90188,SITE4,S2,1781308800000,1
E00382,SITE4,S1,1781308800000,1
E03653,SITE1,S1,1781308800000,1
E00342,SITE3,S3,1781308800000,1
E03744,SITE4,S3,1781308800000,1
E90400,SITE1,S1,1781308800000,1
E01813,SITE1,S1,1781308800000,1
E00816,SITE4,S1,1781308800000,1
E02692,SITE3,S1,1781308800000,1
E00473,SITE2,S3,1781308800000,1
E02693,SITE2,S2,1781308800000,1
E02342,SITE2,S2,1781308800000,1
E03978,SITE2,S2,1781308800000,1
E01167,SITE3,S3,1781308800000,1
E00661,SITE4,S3,1781308800000,1
E01227,SITE1,S2,1781308800000,1
E03994,SITE4,S2,1781308800000,1
E00675,SITE4,S2,1781308800000,1
E00634,SITE2,S2,1781308800000,1
E03777,SITE3,S3,1781308800000,1
E03451,SITE1,S2,1781308800000,1
E02682,SITE1,S1,1781308800000,1
E03100,SITE3,S1,1781308800000,1
E00047,SITE1,S1,1781308800000,1
E00586,SITE4,S3,1781308800000,1
E01517,SITE1,S2,1781308800000,1
E01789,SITE3,S2,1781308800000,1
E03005,SITE1,S1,1781308800000,1
E01445,SITE2,S1,1781308800000,1
E03661,SITE1,S3,1781308800000,1
E01017,SITE4,S3,1781308800000,1
E02609,SITE4,S3,1781308800000,1
E01188,SITE4,S3,1781308800000,1
E90862,SITE2,S3,1781308800000,1
E01189,SITE4,S2,1781308800000,1
E01154,SITE3,S1,1781308800000,1
E90421,SITE2,S2,1781308800000,1
E00150,SITE3,S1,1781308800000,1
E02389,SITE4,S1,1781395200000,1
E00922,SITE3,S2,1781395200000,1
E03363,SITE3,S1,1781395200000,1
E03966,SITE2,S2,1781395200000,1
E01437,SITE4,S3,1781395200000,1
