trip_id,date,shift,mode,site_id,vendor_id,driver_id,vehicle_id,direction,scheduled_at,actual_at,planned_km,actual_km,seats,occupancy,status,night_escort
T000000,1787443200000,S1,shuttle,SITE3,V02,D0137,KA01AB0119,logout,1787484600000,1787484780000,17.65,20.18,24,2,closed,true
T000001,1781827200000,S2,nodal,SITE2,V02,D0378,KA01AB0791,logout,1781890200000,1781890320000,19.27,21.05,12,10,closed,true
T000002,1781913600000,S2,shuttle,SITE1,V06,D0357,KA01AB1342,login,1781944200000,1781944260000,17.25,17.99,24,16,closed,true
T000003,1785283200000,S2,cab,SITE4,V11,D0396,KA01AB1742,logout,1785346200000,1785346440000,8.96,8.81,4,2,closed,true
T000004,1782950400000,S3,nodal,SITE4,V11,D0394,KA01AB0423,login,1783006200000,1783006320000,37.83,37.45,12,3,closed,true
T000005,1781740800000,S3,nodal,SITE1,V01,D0346,KA01AB1847,logout,1781739000000,1781739120000,21.36,20.79,12,7,closed,true
T000006,1786320000000,S1,nodal,SITE4,V10,D0368,KA01AB0812,logout,1786361400000,1786361460000,42.08,46.91,12,12,closed,true
T000007,1786492800000,S1,nodal,SITE2,V11,D0309,KA01AB0688,logout,1786534200000,1786534260000,10.30,10.18,12,2,closed,true
T000008,1785369600000,S2,cab,SITE4,V02,D0272,KA01AB1685,login,1785400200000,1785400440000,11.91,13.04,4,1,closed,true
T000009,1784505600000,S3,cab,SITE4,V03,D0203,KA01AB1462,login,1784561400000,1784561460000,20.54,21.28,4,4,closed,true
T000010,1787443200000,S2,shuttle,SITE3,V08,D0045,KA01AB0540,login,1787473800000,1787473920000,33.18,32.82,24,11,closed,true
T000011,1784246400000,S3,shuttle,SITE4,V03,D0134,KA01AB1488,logout,1784244600000,1784244780000,21.57,23.90,24,4,closed,true
T000012,1784851200000,S2,nodal,SITE3,V04,D0389,KA01AB0173,logout,1784914200000,1784914260000,40.16,43.48,12,4,closed,true
T000013,1781913600000,S1,cab,SITE1,V01,D0378,KA01AB1248,login,1781922600000,1781923500000,34.72,37.84,4,4,closed,true
T000014,1783814400000,S3,cab,SITE1,V08,D0349,KA01AB0842,logout,1783812600000,1783812600000,27.07,28.82,4,3,closed,true
T000015,1785801600000,S2,cab,SITE1,V01,D0268,KA01AB0017,login,1785832200000,1785832440000,33.49,32.17,4,2,closed,true
T000016,1785283200000,S3,nodal,SITE1,V09,D0156,KA01AB0788,logout,1785281400000,1785281400000,32.87,33.77,12,4,closed,true
T000017,1785283200000,S2,nodal,SITE2,V05,D0130,KA01AB1770,login,1785313800000,1785313800000,40.85,44.97,12,2,closed,true
T000018,1782172800000,S2,nodal,SITE2,V06,D0310,KA01AB0434,login,1782203400000,1782203520000,28.75,31.80,12,4,closed,true
T000019,1781654400000,S3,shuttle,SITE4,V12,D0358,KA01AB0044,logout,1781652600000,1781652840000,12.49,13.89,24,20,closed,true
T000020,1785542400000,S3,cab,SITE4,V01,D0034,KA01AB1399,login,1785598200000,1785598320000,11.44,13.09,4,1,closed,true
T000021,1786060800000,S1,nodal,SITE1,V12,D0136,KA01AB0641,login,1786069800000,1786069920000,15.00,16.39,12,7,closed,true
T000022,1784073600000,S1,nodal,SITE1,V05,D0319,KA01AB1529,login,1784082600000,1784082720000,32.56,36.53,12,6,closed,true
T000023,1783123200000,S1,nodal,SITE1,V03,D0123,KA01AB1979,logout,1783164600000,1783165620000,20.93,22.21,12,1,closed,true
T000024,1781049600000,S3,nodal,SITE3,V09,D0301,KA01AB0467,login,1781105400000,1781105580000,30.17,31.89,12,2,closed,true
T000025,1785110400000,S1,nodal,SITE1,V05,D0051,KA01AB0613,logout,1785151800000,1785151920000,40.58,43.62,12,12,closed,true
T000026,1786320000000,S3,nodal,SITE3,V04,D0278,KA01AB0464,logout,1786318200000,1786318320000,18.64,17.91,12,8,closed,false
