business_unit,trip_id,stwid,event_id,event_type,start_time,acknowledge_time,state_text,severity,source
catalyst-Sac,"1,507,960",0,1d398b81-5992-4056-89c9-66a2733c1415,OVER_SPEEDING,"June 24, 2026, 6:52 AM","June 24, 2026, 6:53 AM",CLOSED,Sev-1,NA
vanta-Sea,"4,849,352",0,c12fd211-d085-4214-89d0-6faf0c7caf41,VEHICLE_STOPPAGE,"May 14, 2026, 7:26 AM","May 14, 2026, 7:34 AM",CLOSED,Sev-3,NA
vanta-Sea,"4,862,766",0,3db00c4e-4ad0-4cfd-bd79-ec82dac38a43,VEHICLE_STOPPAGE,"May 19, 2026, 9:29 AM","May 19, 2026, 9:30 AM",CLOSED,Sev-3,NA
vanta-Sea,"4,891,528",0,a725ba35-af90-440b-a104-57609a46c963,VEHICLE_STOPPAGE,"May 28, 2026, 8:38 AM","May 28, 2026, 8:45 AM",CLOSED,Sev-3,NA
vanta-Sea,"4,928,506","469,545",ef9636e4c12cac2a38919a5e93153939,WOMAN_TRAVELLING_ALONE,"June 9, 2026, 6:25 PM","June 9, 2026, 6:25 PM",CLOSED,False,NA
vanta-Sea,"4,928,506","437,035",cb0ab5e99645d97cb52fa62257705c41,WOMAN_TRAVELLING_ALONE,"June 9, 2026, 6:26 PM","June 9, 2026, 6:28 PM",CLOSED,False,NA
vanta-Sea,"4,928,506","469,545",400cd00f5d1ce58edd567945a0b0ef34,WOMAN_TRAVELLING_ALONE,"June 9, 2026, 7:26 PM","June 9, 2026, 7:27 PM",CLOSED,Sev-3,NA
vanta-Sea,"4,928,506",0,87f46aed-cdf2-432c-a8ed-be6cbd593946,DEVICE_NOT_REACHABLE,"June 9, 2026, 7:53 PM","June 9, 2026, 7:58 PM",CLOSED,False,MOBILE
pinnacle-Slc,"3,074,638",0,7188af93-33d7-4c09-a55a-5f837e38e5f0,OVER_SPEEDING,"May 7, 2026, 5:19 PM","May 7, 2026, 5:20 PM",CLOSED,Sev-3,NA
pinnacle-Slc,"3,079,716","471,225",85c3bfbce274e7e4d482ffa2cbe042ec,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 8, 2026, 3:49 PM","May 9, 2026, 3:54 PM",CLOSED,NA,NA
pinnacle-Slc,"3,079,716","613,650",6ace07083472b3e9939fb811b3f95dc6,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 8, 2026, 3:49 PM","May 9, 2026, 3:54 PM",CLOSED,NA,NA
pinnacle-Slc,"3,079,716","343,835",99b024d6bbc5d15ac003e6a1a8c1e35c,EMPLOYEE_SIGN_OFF_TIME_VIOLATION,"May 8, 2026, 3:56 PM","May 9, 2026, 4:00 PM",CLOSED,NA,NA
pinnacle-Slc,"3,111,009","432,110",99497134f3f745895b83f2cb9c5da376,EMPLOYEE_GEOFENCE_VIOLATION,"May 15, 2026, 10:46 PM","May 15, 2026, 10:49 PM",CLOSED,False,NA
pinnacle-Slc,"3,209,896",0,6e5ea0cb-b538-478e-9877-52e5acffa309,DEVICE_NOT_REACHABLE,"June 8, 2026, 5:55 PM","June 9, 2026, 6:00 PM",CLOSED,NA,MOBILE
