business_unit,office,vendor,cycle_start,cycle_end,trip_id,contract,slab_name,total_trip_km,trip_cost
orbit-Slc,Eastgate Office,Rohan Mikhailov Travel,"July 1, 2026, 12:00 AM","July 15, 2026, 12:00 AM",1335679,NPT_8_SEATER,NA,33.44,"1,581"
orbit-Slc,Eastgate Office,Rohan Mikhailov Travel,"July 1, 2026, 12:00 AM","July 15, 2026, 12:00 AM",1321565,NPT4_SEATER_EV,Slab 1,30.6,"1,342.5"
vanta-Aus,Cedar Ridge Office,Meera Pavlov Travel,"July 1, 2026, 12:00 AM","July 31, 2026, 12:00 AM",1210156,6S-EV-HTK,Short,0,"1,875"
orbit-Slc,Eastgate Office,Rohan Mikhailov Travel,"July 1, 2026, 12:00 AM","July 15, 2026, 12:00 AM",1334047,NPT_4_SEATER,Slab1,12,"1,873.5"
vanta-Aus,Cedar Ridge Office,Anjali Mikhailov Travel,"July 1, 2026, 12:00 AM","July 31, 2026, 12:00 AM",1251417,6S-HYD,Medium,0,"1,683.87"
orbit-Slc,Lakeside Commons,Anjali Mikhailov Travel,"July 16, 2026, 12:00 AM","July 31, 2026, 12:00 AM",1351635,4SEATER_BTT_2025,21-30,22.2,"1,665"
orbit-Slc,Lakeside Commons,Rahul Mikhailov Travel,"July 16, 2026, 12:00 AM","July 31, 2026, 12:00 AM",1348469,4Seater-LVT-July,0-20,16.77,885
orbit-Slc,Cedar Ridge Office,Rahul Mikhailov Travel,"July 16, 2026, 12:00 AM","July 31, 2026, 12:00 AM",1357718,4Seater-LVT-July,21-30,23.9,"1,522.5"
orbit-Slc,Lakeside Commons,Anjali Mikhailov Travel,"July 16, 2026, 12:00 AM","July 31, 2026, 12:00 AM",1366407,4SEATER_BTT_2025,0-20,10.8,960
orbit-Slc,Lakeside Commons,Rahul Mikhailov Travel,"July 16, 2026, 12:00 AM","July 31, 2026, 12:00 AM",1346266,8Seater-LVT-July,21-30,24.3,"1,372.5"
orbit-Slc,Eastgate Office,Rohan Mikhailov Travel,"July 16, 2026, 12:00 AM","July 31, 2026, 12:00 AM",1338269,NPT4_SEATER_EV,Slab 1,13.78,"1,170"
orbit-Slc,Lakeside Commons,Rahul Mikhailov Travel,"July 16, 2026, 12:00 AM","July 31, 2026, 12:00 AM",1365597,4Seater-LVT-July,21-30,25.2,"1,072.5"
vanta-Sea,Denver Office,Sanjay Mikhailov Travel,"June 1, 2026, 12:00 AM","June 30, 2026, 12:00 AM",4938391,4S-150ORRNEW,Long,0,"1,613.25"
vanta-Sea,Denver Office,Sanjay Mikhailov Travel,"June 1, 2026, 12:00 AM","June 30, 2026, 12:00 AM",4916707,4S-150ORRNEW,Medium,0,"1,365.5"
vanta-Sea,Denver Office,Sanjay Mikhailov Travel,"June 1, 2026, 12:00 AM","June 30, 2026, 12:00 AM",4938636,BUS-ORRNEW-TT,null,0,"2,077.32"
vanta-Sea,Denver Office,Anjali Mikhailov Travel,"June 1, 2026, 12:00 AM","June 30, 2026, 12:00 AM",4943423,4S-150ORRNEW,Medium,0,"1,365.5"
vanta-Sea,Denver Office,Aarav Mikhailov Travel,"June 1, 2026, 12:00 AM","June 30, 2026, 12:00 AM",4977542,4S-150ORRNEW,Long,0,"1,613.25"
vanta-Sea,Denver Office,Anjali Mikhailov Travel,"June 1, 2026, 12:00 AM","June 30, 2026, 12:00 AM",4964659,4S-150ORRNEW,Medium,0,"1,365.5"
vanta-Sea,Denver Office,Priya Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",4843967,4S-150ORRNEW,Long,0,"1,613.25"
vanta-Sea,Denver Office,Anjali Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",4872740,4S-150ORRNEW,Medium,0,"1,365.5"
vanta-Sea,Denver Office,Priya Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",4823839,4S-150ORRNEW,Long,0,"1,613.25"
vanta-Sea,Denver Office,Anjali Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",4873469,6S-150ORRNEW,Medium,0,"1,798.17"
vanta-Sea,Denver Office,Isha Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",4814188,4S-150ORRNEW,Medium,0,"1,365.5"
vanta-Sea,Denver Office,Priya Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",4853888,BUS-ORRNEW-SML,null,0,"2,463.49"
vanta-Sea,Denver Office,Anjali Mikhailov Travel,"June 1, 2026, 12:00 AM","June 30, 2026, 12:00 AM",5000523,4S-150ORRNEW,Long,0,"1,613.25"
vanta-Sea,Denver Office,Aarav Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",4858487,BUS-ORRNEW-SML,null,0,"2,523.49"
vanta-Sea,Denver Office,Sanjay Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",4883616,6S-150ORRNEW,Medium,0,"1,798.17"
vanta-Sea,Denver Office,Aarav Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",4849352,4S-150ORRNEW,Long,0,"1,613.25"
vanta-Sea,Denver Office,Anjali Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",4898577,4S-150ORRNEW,Medium,0,"1,365.5"
vanta-Sea,Denver Office,Priya Mikhailov Travel,"June 1, 2026, 12:00 AM","June 30, 2026, 12:00 AM",4937807,4S-EV-Z,Long,0,"1,275"
vanta-Sea,Denver Office,Priya Mikhailov Travel,"June 1, 2026, 12:00 AM","June 30, 2026, 12:00 AM",4950687,BUS-ORRNEW-TT,null,0,"2,529.75"
vanta-Sea,Denver Office,Sanjay Mikhailov Travel,"June 1, 2026, 12:00 AM","June 30, 2026, 12:00 AM",4923516,6S-150ORRNEW,Medium,0,"1,798.17"
vanta-Sea,Denver Office,Sanjay Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",4840885,4S-150ORRNEW,Long,0,"1,613.25"
vanta-Sea,Denver Office,Anjali Mikhailov Travel,"June 1, 2026, 12:00 AM","June 30, 2026, 12:00 AM",5001574,6S-EV-HTK,Long,22.2,"1,875"
vanta-Sea,Denver Office,Aarav Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",4880311,6S-150ORRNEW,Medium,0,"1,798.17"
vanta-Sea,Denver Office,Aarav Petrov Travel,"June 1, 2026, 12:00 AM","June 30, 2026, 12:00 AM",4926776,BUS-ORRNEW-SML,null,0,"2,089.99"
vanta-Sea,Denver Office,Priya Mikhailov Travel,"June 1, 2026, 12:00 AM","June 30, 2026, 12:00 AM",4906662,4S-150ORRNEW,Medium,0,"1,365.5"
vanta-Sea,Denver Office,Priya Mikhailov Travel,"June 1, 2026, 12:00 AM","June 30, 2026, 12:00 AM",4928506,4S-EV-Z,Medium,0,"1,275"
vanta-Sea,Denver Office,Anjali Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",4831884,4S-150ORRNEW,Medium,0,"1,365.5"
vanta-Sea,Denver Office,Sanjay Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",4835690,4S-150ORRNEW,Medium,0,"1,365.5"
