business_unit,office,product_type,trip_date,shift_type,trip_id,planned_pickup_epoch,planned_drop_epoch,actual_pickup_epoch,actual_drop_epoch,planned_km,traveled_km,stwid,signintype,gender,emp_role,boarding_status,not_boarding_reason,is_no_show
orbit-Slc,Lakeside Commons,CAB,2026-07-20,20:00,1344152,1784578500.0,1784580000.0,1784578597.0,1784580390.0,5.4334016,8.572223663330078,57735,Planned,MALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-07-07,12:00,1214703,1783422180.0,1783424700.0,1783422698.0,1783424469.0,6.0769997,5.710468769073486,319375,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-07-13,13:30,3387091,1783949400.0,1783953000.0,1783950182.0,1783953554.0,26.029,4.581575870513916,94600,Planned,MALE,employee,Boarded,,False
catalyst-Sac,Fairview Commons,CAB,2026-05-26,20:00,1470051,1779826500.0,1779830580.0,1779826124.0,1779832044.0,23.675,22.52507972717285,24105,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-03,18:30,4910873,1780511400.0,1780514700.0,1780511322.0,1780513102.0,5.417,4.745475769042969,245275,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-07-09,13:00,3369828,1783598280.0,1783601700.0,1783597800.0,1783601715.0,17.587,21.136329650878903,403705,Planned,MALE,projectmgr,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-05-19,17:16,4864159,1779211860.0,1779212760.0,,,9.4539995,0.0,383170,,FEMALE,employee,Not Boarded,NO_SHOW,True
vanta-Sea,Denver Office,BUS,2026-05-04,10:00,4817085,1777886460.0,1777887900.0,1777886591.0,1777888427.0,7.3359222,9.78135585784912,441425,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,14:30,3057297,1777905000.0,1777908360.0,1777904358.0,1777907300.0,23.20195,18.872703552246097,11060,Planned,FEMALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-07-11,03:15,1223544,,,1783740103.0,1783742078.0,0.0,20.85794258117676,353975,Adhoc,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-07-13,13:30,3387091,1783949400.0,1783953840.0,1783949199.0,1783954427.0,30.777,9.46057415008545,321060,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-06,11:00,4824774,1778064300.0,1778064900.0,1778064256.0,1778064961.0,1.651,1.2819993495941162,188380,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-23,06:00,4973989,1782193080.0,1782193500.0,1782193448.0,1782194090.0,3.891,4.104933738708496,348180,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-15,15:30,3112714,1778859000.0,1778862360.0,1778859367.0,1778862764.0,19.845001,18.73928451538086,84170,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-19,14:30,3126798,1779201000.0,1779202260.0,1779201574.0,1779203798.0,7.025,6.837545394897461,8535,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-07-30,20:16,5100868,,,1785442914.0,1785446166.0,0.0,17.015356063842773,35450,Adhoc,MALE,escort,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-19,18:30,4864465,1779215400.0,1779219120.0,1779215724.0,1779218136.0,5.774,4.809879779815674,396835,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-06-09,15:00,3214780,1781017200.0,1781017800.0,1781017563.0,1781019379.0,2.186,1.97567617893219,679825,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-23,16:16,4976290,1782231360.0,1782233160.0,1782231230.0,1782234452.0,9.987218,11.761425018310549,459920,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-05-19,13:30,3124038,1779197400.0,1779198120.0,1779198010.0,1779198998.0,3.466,3.494037628173828,329785,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-05-18,20:16,4861147,1779136260.0,1779142380.0,1779135541.0,1779140862.0,30.558,21.990447998046875,261350,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-07-13,09:00,3383322,1783930440.0,1783932900.0,,,9.642,0.0,656590,,FEMALE,employee,Not Boarded,TRIP_CANCELLED_FROM_DASHBOARD,False
vanta-Sea,Denver Office,BUS,2026-07-30,12:00,5098671,1785411840.0,1785412800.0,1785411900.0,1785412991.0,6.5340004,4.428267002105713,394050,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-05-18,20:16,4861147,1779136260.0,1779142740.0,1779135265.0,1779141047.0,31.794,22.91349220275879,331140,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-07-30,12:00,5098671,1785411840.0,1785412800.0,1785412006.0,1785412991.0,7.2780004,4.187972545623779,311140,Planned,MALE,employee,Boarded,,False
catalyst-Sac,Redwood City Center,CAB,2026-05-20,19:00,1463799,,,1779304285.0,1779311574.0,0.0,23.07286262512207,366045,Adhoc,MALE,escort,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-07-14,14:00,5043176,1784034780.0,1784036700.0,1784034739.0,1784038571.0,16.766138,15.173534393310549,169380,Planned,MALE,projectmgr,Boarded,,False
catalyst-Sac,Fairview Commons,CAB,2026-06-01,21:30,1476774,1780350300.0,1780354980.0,1780350076.0,1780354989.0,33.329,33.8460578918457,345210,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-14,09:00,3102603,1778747820.0,1778748900.0,1778747961.0,1778749470.0,2.408,1.3031646013259888,119135,Planned,FEMALE,employee,Boarded,,False
orbit-Slc,Lakeside Commons,CAB,2026-06-25,06:30,1298341,,,1782362052.0,1782367860.0,0.0,33.54467010498047,250910,Adhoc,MALE,escort,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-06-03,09:00,3187032,1780474440.0,1780476900.0,1780474600.0,1780476767.0,5.771729,6.185137748718262,203735,Planned,FEMALE,employee,Boarded,,False
orbit-Slc,Eastgate Office,BUS,2026-05-05,13:00,1213552,1777981500.0,1777985100.0,1777983129.0,1777984938.0,11.233404,10.899051666259766,800,Planned,FEMALE,projectmgr,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-30,13:00,4998578,1782821520.0,1782823500.0,1782821896.0,1782823899.0,9.602357,8.096963882446289,302990,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-30,13:00,4998578,1782821640.0,1782823500.0,1782822024.0,1782823899.0,8.761617,7.5086259841918945,107575,Planned,FEMALE,employee,Boarded,,False
catalyst-Sac,Crestwood Campus,CAB,2026-07-23,15:30,1547516,1784821500.0,1784826480.0,1784820794.0,1784825576.0,25.613,30.957763671875,185180,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-06-09,15:00,3214780,1781017200.0,1781018100.0,1781017986.0,1781019649.0,3.2330003,2.951669931411743,105135,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-07-07,10:00,5020992,1783415280.0,1783417500.0,1783415426.0,1783418767.0,8.841602,6.678772926330566,305110,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-22,11:00,4874307,1779446280.0,1779447300.0,,,2.578,0.0,310560,,FEMALE,employee,Not Boarded,NO_SHOW,True
vanta-Sea,Denver Office,BUS,2026-05-19,18:30,4864465,1779215400.0,1779219120.0,1779215663.0,1779218696.0,5.774,5.075510025024414,397115,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-30,13:00,4998578,1782821520.0,1782823500.0,1782821926.0,1782823899.0,9.602357,7.991044044494629,196825,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-07-28,21:16,5092592,1785274260.0,1785278100.0,1785273495.0,1785277285.0,21.577,21.800966262817383,512235,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-06-16,10:30,3248731,1781602680.0,1781605500.0,,,8.872,0.0,589825,,MALE,employee,Not Boarded,TRIP_CANCELLED_FROM_DASHBOARD,False
vanta-Aus,Cedar Ridge Office,CAB,2026-05-11,15:15,1113695,1778513400.0,1778517420.0,1778512206.0,1778516659.0,18.02008,25.770153045654297,248385,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-11,14:00,4838465,1778504280.0,1778507100.0,1778504301.0,1778507330.0,18.029999,18.49954605102539,168080,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-23,06:00,4973989,1782192660.0,1782193500.0,1782192811.0,1782194090.0,4.922,5.049715518951416,341640,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-21,22:16,4969593,,,1782080325.0,1782081728.0,0.0,8.911213874816895,399850,Adhoc,MALE,escort,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-07-16,09:30,3402826,1784193120.0,1784193900.0,1784193418.0,1784193943.0,1.644,1.1545698642730713,422525,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-19,18:30,4864465,1779215400.0,1779219180.0,1779215649.0,1779218696.0,6.0480003,4.823766231536865,415065,Planned,FEMALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-06-19,19:15,1183935,1781897400.0,1781898060.0,1781896398.0,1781898250.0,5.2274113,6.584083557128906,207655,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-06-16,14:30,3252471,1781620200.0,1781621640.0,1781620642.0,1781622343.0,8.588,9.62048625946045,424510,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-04,10:00,4817085,1777886220.0,1777887900.0,1777886364.0,1777888427.0,8.646941,10.644072532653809,434435,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-07-30,12:00,5098671,1785411840.0,1785412800.0,1785412030.0,1785412991.0,4.681,4.187972545623779,482655,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-07-02,14:30,3339820,1783002600.0,1783003980.0,1783004064.0,1783005641.0,5.5919976,5.440831184387207,137570,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-07-30,12:00,5098671,1785411840.0,1785412800.0,1785411909.0,1785412991.0,7.0860004,4.428267002105713,315185,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-05-05,15:00,3063112,1777993200.0,1777994760.0,1777993692.0,1777995335.0,5.000838,6.735335350036621,241840,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-06-15,15:30,3244370,1781537400.0,1781538480.0,1781537760.0,1781539680.0,7.1883845,6.7032928466796875,418420,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-07-21,20:16,5067648,1784665860.0,1784668560.0,1784665288.0,1784670243.0,20.732,20.70788192749023,494625,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-07-07,10:30,3356874,1783418340.0,1783419900.0,1783418623.0,1783420196.0,4.656426,3.921633243560791,518880,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-07-02,10:30,3336707,1782983460.0,1782987900.0,1782984434.0,1782990253.0,24.048,24.625938415527344,174875,Planned,MALE,projectmgr,Boarded,,False
