business_unit,office,product_type,trip_date,shift_type,trip_id,trip_direction,actual_escort,vendor_id,planned_cab_registration,actual_cab_registration,actual_cab_capacity,planned_km,traveled_km,planned_start_epoch,planned_end_epoch,actual_start_epoch,actual_end_epoch,delay_reason,delay_minutes,route_source,actual_cab_fuel_type,is_driver_nc,is_cab_nc,trip_nodal,plannedemployee_cnt,actualemployee_cnt,noshow_cnt
catalyst-Sac,Santa Clara Office,CAB,"July 2, 2026",04:00,"1,519,576",LOGOUT,true,Divya Mikhailov Travel,OGO 162 GP,OGO 162 GP,6,27.59,28.98,"1,782,965,700","1,782,967,440","1,782,966,109","1,782,970,990",NODELAY,0,AUTO,Petrol,false,false,NA,5,6,0
vanta-Aus,Cedar Ridge Office,CAB,"July 3, 2026",20:15,"1,210,156",LOGOUT,false,Meera Pavlov Travel,LJO 740 GP,LJO 740 GP,5,3.72,5.6,"1,783,110,600","1,783,111,620","1,783,109,174","1,783,112,302",NODELAY,0,AUTO,Electric,false,false,NA,4,3,1
catalyst-Sac,Santa Clara Office,CAB,"July 8, 2026",22:30,"1,528,247",LOGOUT,true,Priya Mikhailov Travel,XCY 119 GP,XCY 119 GP,4,35.83,37.59,"1,783,550,700","1,783,555,740","1,783,551,273","1,783,558,193",NODELAY,0,AUTO,Petrol,false,false,HOME,3,4,0
vanta-Aus,Cedar Ridge Office,CAB,"July 9, 2026",12:00,"1,219,024",LOGIN,false,Meera Pavlov Travel,TBC 296 GP,TBC 296 GP,3,14,16.5,"1,783,593,120","1,783,597,500","1,783,594,334","1,783,598,249",NODELAY,0,AUTO,Diesel,false,false,NODAL,3,3,0
orbit-Slc,Cedar Ridge Office,CAB,"July 2, 2026",22:00,"1,314,192",LOGOUT,false,Rahul Mikhailov Travel,BLP 921 GP,BLP 921 GP,3,10.11,12.5,"1,783,030,500","1,783,031,160","1,783,030,467","1,783,032,874",NODELAY,0,AUTO,Diesel,false,false,HOME,2,2,0
orbit-Slc,Eastgate Office,CAB,"July 8, 2026",06:30,"1,321,565",LOGIN,false,Rohan Mikhailov Travel,CVQ 952 GP,CVQ 952 GP,3,26.76,30.6,"1,783,488,000","1,783,491,300","1,783,488,381","1,783,491,512",NODELAY,0,AUTO,Electric,false,false,HOME,3,3,0
vanta-Sea,Denver Office,CAB,"July 1, 2026",23:16,"5,006,087",LOGOUT,false,Aarav Petrov Travel,VOV 652 GP,VOV 652 GP,3,8.66,8,"1,782,948,660","1,782,949,620","1,782,947,660","1,782,949,610",NODELAY,0,AUTO,Petrol,false,false,HOME,1,1,0
orbit-Slc,Eastgate Office,BUS,"July 16, 2026",15:30,"1,338,269",LOGOUT,false,Rohan Mikhailov Travel,ZIF 858 GP,ZIF 858 GP,3,13.67,13.78,"1,784,216,700","1,784,219,160","1,784,216,395","1,784,218,756",NODELAY,0,MANUAL,Electric,false,false,HOME,2,2,0
vanta-Sea,Denver Office,BUS,"June 16, 2026",12:00,"4,950,687",LOGIN,false,Priya Mikhailov Travel,LVJ 138 GP,LVJ 138 GP,12,19.61,18.1,"1,781,605,740","1,781,610,300","1,781,605,814","1,781,611,701",TRAFFIC,8,MANUAL,Petrol,false,false,HOME,9,5,4
pinnacle-Slc,Oakmont Office,CAB,"June 8, 2026",07:30,"3,207,747",LOGIN,false,Rahul Mikhailov Travel,CNJ 417 GP,CNJ 417 GP,3,17.46,16.8,"1,780,900,740","1,780,903,500","1,780,901,127","1,780,903,287",NODELAY,0,AUTO,Diesel,false,false,NA,1,1,0
