trip_id,stwid,planned_pickup_epoch,otp_sent_epoch,otp_verified_epoch,verification_attempts,source
1097357,137970,1777595400.0,1777595400,1777595345,1,SYNTHETIC
1097401,346435,1777611420.0,1777611420,1777611816,2,SYNTHETIC
1097411,348065,1777612260.0,1777612260,1777612316,1,SYNTHETIC
1097422,322505,1777623720.0,1777623720,1777623672,1,SYNTHETIC
1097433,284520,1777626660.0,1777626660,1777627465,4,SYNTHETIC
1097444,215715,1777626660.0,1777626660,1777626703,1,SYNTHETIC
1097455,309760,1777626900.0,1777626900,1777628548,4,SYNTHETIC
1097460,344225,1777627500.0,1777627500,1777627420,1,SYNTHETIC
1097467,304905,1777628760.0,1777628760,1777630151,4,SYNTHETIC
1097475,325745,1777625040.0,1777625040,1777626360,2,SYNTHETIC
1097488,356980,1777630860.0,1777630860,1777631384,1,SYNTHETIC
1097500,245215,1777632600.0,1777632600,1777633059,1,SYNTHETIC
1097510,382210,1777630020.0,1777630020,1777629907,1,SYNTHETIC
1097521,108995,1777634580.0,1777634580,1777634587,1,SYNTHETIC
1097530,357595,1777635180.0,1777635180,1777635073,1,SYNTHETIC
1097543,270755,1777635840.0,1777635840,1777635862,1,SYNTHETIC
1097559,196535,1777638000.0,1777638000,1777637982,1,SYNTHETIC
1097572,359425,1777652940.0,1777652940,1777653054,1,SYNTHETIC
1097590,357015,1777599000.0,1777599000,1777598977,1,SYNTHETIC
1097702,156015,1777606200.0,1777606200,1777606156,1,SYNTHETIC
1097842,340350,1777620600.0,1777620600,1777620718,1,SYNTHETIC
1098159,350,1777645800.0,1777645800,1777645904,1,SYNTHETIC
1098201,348065,1777649400.0,1777649400,1777649342,1,SYNTHETIC
1098312,146445,1777656600.0,1777656600,1777657854,4,SYNTHETIC
1098355,335865,1777660200.0,1777660200,1777660792,2,SYNTHETIC
1098398,309760,1777663800.0,1777663800,1777663795,1,SYNTHETIC
1098411,205225,1777663800.0,1777663800,1777663823,1,SYNTHETIC
1098453,330795,1777667400.0,1777667400,1777667498,1,SYNTHETIC
1098466,325745,1777667400.0,1777667400,1777667299,1,SYNTHETIC
1098509,173370,1777671000.0,1777671000,1777671020,1,SYNTHETIC
1098526,316370,1777671000.0,1777671000,1777672098,3,SYNTHETIC
1098566,128460,1777674600.0,1777674600,1777675013,2,SYNTHETIC
1098580,258380,1777674600.0,1777674600,1777674635,1,SYNTHETIC
1098618,274080,1777678200.0,1777678200,1777678239,1,SYNTHETIC
1098630,207815,1777678200.0,1777678200,1777678305,1,SYNTHETIC
1098710,350,1777699020.0,1777699020,1777700406,3,SYNTHETIC
1098719,300810,1777708800.0,1777708800,1777708714,1,SYNTHETIC
1098730,332305,1777710240.0,1777710240,1777710136,1,SYNTHETIC
1098740,200000,1777711500.0,1777711500,1777711553,1,SYNTHETIC
1098753,279480,1777723680.0,1777723680,1777723564,1,SYNTHETIC
1098766,193915,1777726980.0,1777726980,1777728682,2,SYNTHETIC
1098777,308895,1777756500.0,1777756500,1777756587,1,SYNTHETIC
1098918,260625,1777703400.0,1777703400,1777703405,1,SYNTHETIC
1099098,350,1777732200.0,1777732200,1777732303,1,SYNTHETIC
1099175,155710,1777739400.0,1777739400,1777739699,2,SYNTHETIC
1099284,302485,1777750200.0,1777750200,1777751641,3,SYNTHETIC
1099291,149235,1777750200.0,1777750200,1777750160,1,SYNTHETIC
1099368,279480,1777761000.0,1777761000,1777761091,1,SYNTHETIC
1099478,262860,1777785600.0,1777785600,1777785657,1,SYNTHETIC
1099494,193850,1777788300.0,1777788300,1777788647,1,SYNTHETIC
1099507,193945,1777796640.0,1777796640,1777796606,1,SYNTHETIC
1099522,141930,1777797900.0,1777797900,1777798319,2,SYNTHETIC
1099534,193915,1777813200.0,1777813200,1777814616,2,SYNTHETIC
1099581,317275,1777789800.0,1777789800,1777790209,1,SYNTHETIC
1099824,346435,1777818600.0,1777818600,1777818880,2,SYNTHETIC
1099969,134165,1777833000.0,1777833000,1777833119,1,SYNTHETIC
1100013,301095,1777836600.0,1777836600,1777836562,1,SYNTHETIC
1100122,193915,1777843800.0,1777843800,1777843746,1,SYNTHETIC
1100267,309595,1777872120.0,1777872120,1777872058,1,SYNTHETIC
1100277,194000,1777872540.0,1777872540,1777872485,1,SYNTHETIC
1100288,155710,1777875840.0,1777875840,1777875897,1,SYNTHETIC
1100300,318880,1777879080.0,1777879080,1777879169,1,SYNTHETIC
1100312,320955,1777882380.0,1777882380,1777882357,1,SYNTHETIC
1100322,327070,1777880280.0,1777880280,1777880342,1,SYNTHETIC
1100332,28350,1777886400.0,1777886400,1777886673,1,SYNTHETIC
1100337,332535,1777886280.0,1777886280,1777886522,2,SYNTHETIC
1100342,163070,1777885740.0,1777885740,1777886203,2,SYNTHETIC
1100346,79945,1777884720.0,1777884720,1777884814,1,SYNTHETIC
1100352,324350,1777885500.0,1777885500,1777885566,1,SYNTHETIC
1100356,345605,1777882260.0,1777882260,1777882162,1,SYNTHETIC
1100362,333015,1777884840.0,1777884840,1777886269,3,SYNTHETIC
1100368,323355,1777882620.0,1777882620,1777882685,1,SYNTHETIC
1100373,328315,1777886520.0,1777886520,1777886516,1,SYNTHETIC
1100379,138220,1777886460.0,1777886460,1777886508,1,SYNTHETIC
1100385,332300,1777885500.0,1777885500,1777885414,1,SYNTHETIC
1100392,125490,1777885380.0,1777885380,1777885442,1,SYNTHETIC
1100400,312855,1777884480.0,1777884480,1777884506,1,SYNTHETIC
1100408,300330,1777885860.0,1777885860,1777886175,2,SYNTHETIC
1100412,377445,1777886520.0,1777886520,1777886850,1,SYNTHETIC
1100418,276225,1777887120.0,1777887120,1777887142,1,SYNTHETIC
1100489,250200,1777888980.0,1777888980,1777888890,1,SYNTHETIC
1100493,328065,1777887900.0,1777887900,1777887865,1,SYNTHETIC
1100498,167390,1777887000.0,1777887000,1777886973,1,SYNTHETIC
1100503,73525,1777888260.0,1777888260,1777888234,1,SYNTHETIC
1100508,173130,1777890000.0,1777890000,1777890414,2,SYNTHETIC
1100512,349020,1777887840.0,1777887840,1777888072,1,SYNTHETIC
1100517,383110,1777888980.0,1777888980,1777889505,1,SYNTHETIC
1100522,316745,1777887000.0,1777887000,1777888314,4,SYNTHETIC
1100527,344100,1777888320.0,1777888320,1777888335,1,SYNTHETIC
1100532,110365,1777888380.0,1777888380,1777888465,1,SYNTHETIC
1100536,207815,1777886400.0,1777886400,1777886446,1,SYNTHETIC
1100540,207685,1777888380.0,1777888380,1777888360,1,SYNTHETIC
1100546,180360,1777887120.0,1777887120,1777887217,1,SYNTHETIC
1100553,320760,1777889820.0,1777889820,1777889802,1,SYNTHETIC
1100558,175755,1777887420.0,1777887420,1777887469,1,SYNTHETIC
1100563,286025,1777889100.0,1777889100,1777889173,1,SYNTHETIC
1100567,358750,1777886580.0,1777886580,1777886501,1,SYNTHETIC
1100572,351555,1777887300.0,1777887300,1777887784,2,SYNTHETIC
1100578,2165,1777888500.0,1777888500,1777888420,1,SYNTHETIC
1100584,207670,1777887840.0,1777887840,1777887730,1,SYNTHETIC
1100592,207760,1777888140.0,1777888140,1777888169,1,SYNTHETIC
1100598,381445,1777890360.0,1777890360,1777890429,1,SYNTHETIC
1100605,77105,1777886760.0,1777886760,1777886736,1,SYNTHETIC
1100609,322690,1777888200.0,1777888200,1777888785,1,SYNTHETIC
1100614,298590,1777889040.0,1777889040,1777889982,4,SYNTHETIC
1100619,193420,1777893180.0,1777893180,1777893143,1,SYNTHETIC
1100628,334805,1777893480.0,1777893480,1777893433,1,SYNTHETIC
