site_id,shift_band,date,corridor_congestion_index,avg_speed_kmph,source
Ashford Commons,DAY,2026-05-04,15.9,46.7,SYNTHETIC
Ashford Commons,DAY,2026-05-05,10.5,50.1,SYNTHETIC
Ashford Commons,DAY,2026-05-06,3.9,53.3,SYNTHETIC
Ashford Commons,DAY,2026-05-07,22.3,46.0,SYNTHETIC
Ashford Commons,DAY,2026-05-08,15.7,47.6,SYNTHETIC
Ashford Commons,DAY,2026-05-11,20.0,41.8,SYNTHETIC
Ashford Commons,DAY,2026-05-12,11.1,51.8,SYNTHETIC
Ashford Commons,DAY,2026-05-13,11.1,49.4,SYNTHETIC
Ashford Commons,DAY,2026-05-14,13.2,55.6,SYNTHETIC
Ashford Commons,DAY,2026-05-15,18.2,52.9,SYNTHETIC
Ashford Commons,DAY,2026-05-18,11.4,49.0,SYNTHETIC
Ashford Commons,DAY,2026-05-19,11.4,55.0,SYNTHETIC
Ashford Commons,DAY,2026-05-20,18.5,48.4,SYNTHETIC
Ashford Commons,DAY,2026-05-21,13.7,51.3,SYNTHETIC
Ashford Commons,DAY,2026-05-22,17.3,43.9,SYNTHETIC
Ashford Commons,DAY,2026-05-25,13.8,49.0,SYNTHETIC
Ashford Commons,DAY,2026-05-26,11.9,43.8,SYNTHETIC
Ashford Commons,DAY,2026-05-27,0.0,52.3,SYNTHETIC
Ashford Commons,DAY,2026-05-29,20.5,38.6,SYNTHETIC
Ashford Commons,DAY,2026-06-01,6.8,54.5,SYNTHETIC
Ashford Commons,DAY,2026-06-02,18.0,48.2,SYNTHETIC
Ashford Commons,DAY,2026-06-03,10.6,52.4,SYNTHETIC
Ashford Commons,DAY,2026-06-04,13.8,53.7,SYNTHETIC
Ashford Commons,DAY,2026-06-05,19.1,42.0,SYNTHETIC
Ashford Commons,DAY,2026-06-08,8.6,49.5,SYNTHETIC
Ashford Commons,DAY,2026-06-09,5.0,54.8,SYNTHETIC
Ashford Commons,DAY,2026-06-10,19.6,43.9,SYNTHETIC
Ashford Commons,DAY,2026-06-11,8.2,47.3,SYNTHETIC
Ashford Commons,DAY,2026-06-12,3.9,54.5,SYNTHETIC
Ashford Commons,DAY,2026-06-15,10.2,47.3,SYNTHETIC
Ashford Commons,DAY,2026-06-16,15.5,50.0,SYNTHETIC
Ashford Commons,DAY,2026-06-17,14.5,49.1,SYNTHETIC
Ashford Commons,DAY,2026-06-18,6.3,53.1,SYNTHETIC
Ashford Commons,DAY,2026-06-19,15.5,44.2,SYNTHETIC
Ashford Commons,DAY,2026-06-22,15.2,47.5,SYNTHETIC
Ashford Commons,DAY,2026-06-23,3.5,56.1,SYNTHETIC
Ashford Commons,DAY,2026-06-24,12.3,48.8,SYNTHETIC
Ashford Commons,DAY,2026-06-25,11.3,50.8,SYNTHETIC
Ashford Commons,DAY,2026-06-26,13.7,49.0,SYNTHETIC
Ashford Commons,DAY,2026-06-29,3.6,54.0,SYNTHETIC
Ashford Commons,DAY,2026-06-30,8.6,51.4,SYNTHETIC
Ashford Commons,DAY,2026-07-01,8.2,49.5,SYNTHETIC
Ashford Commons,DAY,2026-07-02,13.9,48.5,SYNTHETIC
Ashford Commons,DAY,2026-07-03,9.8,49.9,SYNTHETIC
