business_unit,trip_id,stwid,event_id,event_type,start_time,acknowledge_time,state_text,severity,source
vanta-Aus,"1,097,076",0,37ceae1c-7fe7-4081-a96e-da66602024a7,DEVICE_NOT_REACHABLE,"May 1, 2026, 12:03 AM","May 1, 2026, 12:10 AM",CLOSED,Sev-3,MOBILE
vanta-Aus,"1,097,076",0,43a48dc7-b668-4c65-8b5c-06d37d1f8876,DEVICE_NOT_REACHABLE,"May 1, 2026, 12:12 AM","May 1, 2026, 12:15 AM",CLOSED,False,MOBILE
vanta-Aus,"1,097,076",0,cee5724a-378f-4c63-a302-c199bcfbc362,DEVICE_NOT_REACHABLE,"May 1, 2026, 12:15 AM","May 1, 2026, 12:18 AM",CLOSED,Sev-3,MOBILE
vanta-Aus,"1,097,076",0,6813c589-53c3-490d-8a19-7572a7805bb5,DEVICE_NOT_REACHABLE,"May 1, 2026, 12:18 AM","May 1, 2026, 12:20 AM",CLOSED,Sev-3,MOBILE
vanta-Aus,"1,097,076",0,79478b00-a662-4a91-9735-6e8855ba7d67,DEVICE_NOT_REACHABLE,"May 1, 2026, 12:22 AM","May 1, 2026, 12:23 AM",CLOSED,Sev-3,MOBILE
vanta-Aus,"1,097,076",0,41b10d99-da32-46cd-94d8-2bd098e5caed,DEVICE_NOT_REACHABLE,"May 1, 2026, 12:25 AM","May 1, 2026, 12:25 AM",CLOSED,Sev-3,MOBILE
vanta-Aus,"1,097,076",0,02979d40-5044-4186-bf9b-bb77d3db01fe,DEVICE_NOT_REACHABLE,"May 1, 2026, 12:28 AM","May 1, 2026, 12:31 AM",CLOSED,Sev-3,MOBILE
vanta-Aus,"1,097,076",0,0b74da65-a825-4725-a0be-a705d26e2d57,DEVICE_NOT_REACHABLE,"May 1, 2026, 12:34 AM","May 1, 2026, 12:35 AM",CLOSED,False,MOBILE
vanta-Aus,"1,097,076",0,0755e6e3-f1b1-4d03-b87f-3669c359f4b4,DEVICE_NOT_REACHABLE,"May 1, 2026, 12:37 AM","May 1, 2026, 12:38 AM",CLOSED,False,MOBILE
vanta-Aus,"1,097,076",0,220dd7dd-6668-40ca-a0aa-c1a173f5ffbc,DEVICE_NOT_REACHABLE,"May 1, 2026, 12:40 AM","May 1, 2026, 12:41 AM",CLOSED,False,MOBILE
vanta-Aus,"1,097,076",0,6e450e9a-bc49-458b-9e54-d110e1acd162,DEVICE_NOT_REACHABLE,"May 1, 2026, 12:44 AM","May 1, 2026, 12:44 AM",CLOSED,False,MOBILE
vanta-Aus,"1,097,358",0,596ebf3b-abcb-46a0-807a-57c4ffa8ad0b,DEVICE_NOT_REACHABLE,"May 1, 2026, 1:18 AM","May 1, 2026, 1:19 AM",CLOSED,Sev-3,MOBILE
vanta-Aus,"1,097,405",0,a38a10ea-92e7-4d93-ba6b-ea6f2d1f6ee4,VEHICLE_STOPPAGE,"May 1, 2026, 5:11 AM","May 1, 2026, 5:12 AM",CLOSED,Sev-3,NA
vanta-Aus,"1,097,440",0,f195db6c-39da-483e-b0f8-896eb9eb65c6,VEHICLE_STOPPAGE,"May 1, 2026, 9:00 AM","May 1, 2026, 9:02 AM",CLOSED,Sev-3,NA
vanta-Aus,"1,097,475",0,bc5da396-eb46-43ff-96f1-c49bdbd6a04a,VEHICLE_STOPPAGE,"May 1, 2026, 9:40 AM","May 1, 2026, 9:41 AM",CLOSED,Sev-3,NA
vanta-Aus,"1,097,455",0,60e736ce-3cc1-4372-a4f7-cc9314af1d30,VEHICLE_STOPPAGE,"May 1, 2026, 10:09 AM","May 1, 2026, 10:11 AM",CLOSED,Sev-3,NA
vanta-Aus,"1,097,451",0,335a0489-36de-449a-96fe-73b8cffe5f91,VEHICLE_STOPPAGE,"May 1, 2026, 10:13 AM","May 1, 2026, 10:15 AM",CLOSED,Sev-3,NA
vanta-Aus,"1,097,522",0,5398168c-18fd-4406-84ad-83f341910006,VEHICLE_STOPPAGE,"May 1, 2026, 11:28 AM","May 1, 2026, 11:32 AM",CLOSED,Sev-3,NA
vanta-Aus,"1,098,309",0,6d00f023-82cf-49bc-9f13-97e885673aed,DEVICE_NOT_REACHABLE,"May 1, 2026, 5:39 PM","May 1, 2026, 5:40 PM",CLOSED,Sev-3,MOBILE
vanta-Aus,"1,098,354","373,425",df8b6c3aa517058e15e451f17efb6f88,WOMAN_TRAVELLING_ALONE,"May 1, 2026, 6:15 PM","May 1, 2026, 6:18 PM",CLOSED,False,NA
vanta-Aus,"1,098,356","273,945",fcef67abbd749fe464ba85bb79bd2389,WOMAN_TRAVELLING_ALONE,"May 1, 2026, 6:19 PM","May 1, 2026, 6:21 PM",CLOSED,False,NA
vanta-Aus,"1,098,345","58,080",51b48c79e1832e934b329d3863b95d8a,WOMAN_TRAVELLING_ALONE,"May 1, 2026, 6:19 PM","May 1, 2026, 6:20 PM",CLOSED,False,NA
vanta-Aus,"1,098,345","322,505",ed53c6103761a632b58e1c26c546efd5,WOMAN_TRAVELLING_ALONE,"May 1, 2026, 6:19 PM","May 1, 2026, 6:21 PM",CLOSED,False,NA
vanta-Aus,"1,098,357","373,200",afd245d82a29ba158a9636f53188afc1,WOMAN_TRAVELLING_ALONE,"May 1, 2026, 6:21 PM","May 1, 2026, 6:22 PM",CLOSED,False,NA
vanta-Aus,"1,098,355","335,865",0038fd93b4b3e90f9a4a0848156d8b39,WOMAN_TRAVELLING_ALONE,"May 1, 2026, 6:22 PM","May 1, 2026, 6:23 PM",CLOSED,False,NA
