business_unit,office,vendor,cycle_start,cycle_end,trip_id,contract,slab_name,total_trip_km,trip_cost
vanta-Aus,Cedar Ridge Office,Priya Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1123974,4S-EV-Z,Medium,0,"1,200"
vanta-Aus,Cedar Ridge Office,Sneha Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1147941,6S-HYD,Long,0,"1,800"
vanta-Aus,Cedar Ridge Office,Priya Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1133302,4S-HYD,Medium,0,"1,140"
vanta-Aus,Cedar Ridge Office,Priya Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1133301,6S-HYD,Short,0,"1,227"
vanta-Aus,Cedar Ridge Office,Meera Pavlov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1133304,6S-HYD,Medium,0,"1,629"
vanta-Aus,Cedar Ridge Office,Priya Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1133303,4S-EV-Z,Long,0,"1,200"
vanta-Aus,Cedar Ridge Office,Anjali Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1133300,6S-HYD,Short,0,"1,227"
vanta-Aus,Cedar Ridge Office,Sneha Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1133309,4S-HYD,XLong,0,"1,543.5"
vanta-Aus,Cedar Ridge Office,Anjali Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1133306,4S-HYD,Long,0,"1,354.5"
vanta-Aus,Cedar Ridge Office,Sneha Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1133305,4S-HYD,Medium,0,"1,140"
vanta-Aus,Cedar Ridge Office,Sanjay Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1133308,6S-HYD,Short,0,"1,227"
vanta-Aus,Cedar Ridge Office,Meera Pavlov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1133307,4S-HYD,Short,0,948
vanta-Aus,Cedar Ridge Office,Sneha Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1145492,6S-HYD,Long,0,"1,800"
vanta-Aus,Cedar Ridge Office,Sneha Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1108357,6S-HYD,Short,0,"1,227"
vanta-Aus,Cedar Ridge Office,Meera Pavlov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1108356,4S-HYD,Medium,0,"1,140"
vanta-Aus,Cedar Ridge Office,Priya Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1108359,6S-HYD,Short,0,"1,227"
vanta-Aus,Cedar Ridge Office,Priya Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1145493,6S-HYD,Medium,0,"1,629"
vanta-Aus,Cedar Ridge Office,Meera Pavlov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1108358,4S-HYD,Medium,0,"1,140"
vanta-Aus,Cedar Ridge Office,Anjali Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1108353,4S-HYD,Medium,0,"1,140"
vanta-Aus,Cedar Ridge Office,Sneha Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1108352,4S-HYD,Short,0,948
vanta-Aus,Cedar Ridge Office,Priya Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1108355,6S-HYD,Short,0,"1,227"
vanta-Aus,Cedar Ridge Office,Priya Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1108354,4S-EV-Z,Short,0,"1,200"
vanta-Aus,Cedar Ridge Office,Sneha Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1123908,4S-EV-Z,Long,0,"1,200"
vanta-Aus,Cedar Ridge Office,Anjali Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1145495,6S-HYD,Long,0,"1,800"
vanta-Aus,Cedar Ridge Office,Anjali Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",1108351,6S-HYD,Short,0,"1,227"
