business_unit,office,product_type,trip_date,shift_type,trip_id,planned_pickup_epoch,planned_drop_epoch,actual_pickup_epoch,actual_drop_epoch,planned_km,traveled_km,stwid,signintype,gender,emp_role,boarding_status,not_boarding_reason,is_no_show
catalyst-Sac,Fairview Commons,CAB,2026-07-09,21:30,1530200,1783633500.0,1783635720.0,1783633620.0,1783636140.0,9.967,9.33485984802246,484475,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-25,10:30,3151618,1779702180.0,1779704700.0,1779702552.0,1779705521.0,7.663,7.051839828491211,101925,Planned,MALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-05-20,20:15,1130903,1779309000.0,1779314100.0,1779308000.0,1779313734.0,26.328518,29.41292381286621,332325,Planned,FEMALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-05-21,18:15,1132865,1779388200.0,1779389400.0,1779387408.0,1779389833.0,6.427961,10.062372207641602,93335,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-06-30,07:30,3322146,1782803160.0,1782804300.0,1782803855.0,1782805069.0,6.1205897,5.241961479187012,14675,Planned,MALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-07-17,15:15,1234972,1784302200.0,1784303580.0,1784301115.0,1784302961.0,8.252,8.076428413391113,333950,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-16,21:16,4953292,1781645460.0,1781647320.0,1781644438.0,1781648131.0,15.494,14.81613826751709,63750,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-05-27,21:16,4890143,1779917460.0,1779918480.0,,,9.985999,0.0,206545,,FEMALE,employee,Not Boarded,NO_SHOW,True
catalyst-Sac,Santa Clara Office,CAB,2026-07-31,03:30,1559503,1785469500.0,1785471600.0,1785469489.0,1785471258.0,17.011,9.076237678527832,623740,Planned,FEMALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-07-31,16:15,1259322,1785515400.0,1785516360.0,1785514591.0,1785516780.0,7.008,6.7678351402282715,259675,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-02,15:00,4905798,1780408860.0,1780411500.0,1780408277.0,1780410904.0,19.04799,16.893627166748047,447655,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-05-29,21:16,4897870,1780090260.0,1780091220.0,1780089293.0,1780091989.0,9.051539,8.277454376220703,238430,Planned,MALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-06-18,20:15,1181639,1781814600.0,1781815800.0,,,3.401,0.0,164685,,MALE,employee,Not Boarded,NO_SHOW,True
pinnacle-Slc,Clearwater Campus,CAB,2026-05-12,17:30,3094784,1778607000.0,1778608080.0,1778607831.0,1778609687.0,4.88,6.4655280113220215,171560,Planned,MALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-07-01,20:15,1205770,1782937800.0,1782942480.0,1782936325.0,1782941611.0,21.69366,26.31074905395508,48680,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-06-17,15:30,3260648,1781710200.0,1781715000.0,1781710414.0,1781715923.0,27.397,29.252845764160156,10930,Planned,FEMALE,projectmgr,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-07-07,19:30,3357062,1783447200.0,1783452300.0,1783448033.0,1783451976.0,13.636412,12.873919486999512,334420,Planned,MALE,employee,Boarded,,False
orbit-Slc,Cedar Ridge Office,BUS,2026-06-02,15:30,1257600,1780415100.0,1780418400.0,1780415008.0,1780422636.0,26.008396,29.77916717529297,16755,Planned,MALE,projectmgr,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-07-22,15:30,3433473,1784734200.0,1784735700.0,1784734821.0,1784737430.0,8.261,8.045907020568848,408050,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-05-19,18:16,4864398,1779215460.0,1779216660.0,1779214598.0,1779216823.0,8.818,8.615009307861328,382565,Planned,FEMALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-06-04,14:00,1155381,1780576500.0,1780580700.0,1780576899.0,1780580910.0,19.901203,19.759830474853516,85870,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-05-07,21:16,4830659,1778189460.0,1778191500.0,,,11.116,0.0,322235,,MALE,employee,Not Boarded,NO_SHOW,True
pinnacle-Slc,Oakmont Office,CAB,2026-06-29,15:00,3315966,1782745200.0,1782746400.0,1782745642.0,1782747087.0,7.25,7.862802505493164,226000,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-07-07,13:30,3358593,1783431000.0,1783434360.0,1783431311.0,1783434885.0,19.786001,19.06492805480957,633880,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-06-18,08:30,3264469,1781767980.0,1781771100.0,1781768072.0,1781770623.0,13.2,12.740559577941896,82100,Planned,MALE,employee,Boarded,,False
