business_unit,trip_id,trip_type,trip_date,stwid,route_rating,driver_rating,cab_rating,safety_rating,marshal_rating,creation_time
orbit-Slc,"1,258,207",LOGIN,"June 3, 2026, 11:00 AM","149,530",5,5,5,5,0,"June 3, 2026, 10:44 AM"
orbit-Slc,"1,258,207",LOGIN,"June 3, 2026, 11:00 AM","179,885",5,5,5,5,0,"June 3, 2026, 2:47 PM"
orbit-Slc,"1,258,207",LOGIN,"June 3, 2026, 11:00 AM","3,005",5,5,5,5,0,"June 3, 2026, 7:57 PM"
orbit-Slc,"1,258,217",LOGIN,"June 3, 2026, 11:00 AM","6,020",5,5,5,5,0,"June 3, 2026, 11:06 AM"
orbit-Slc,"1,258,217",LOGIN,"June 3, 2026, 11:00 AM","6,895",5,5,5,5,0,"June 3, 2026, 2:01 PM"
orbit-Slc,"1,258,217",LOGIN,"June 3, 2026, 11:00 AM","10,100",5,5,5,5,0,"June 3, 2026, 8:03 PM"
orbit-Slc,"1,258,229",LOGIN,"June 3, 2026, 11:00 AM","61,355",5,5,5,5,0,"June 3, 2026, 1:57 PM"
orbit-Slc,"1,258,229",LOGIN,"June 3, 2026, 11:00 AM","218,530",5,5,5,5,0,"June 3, 2026, 3:29 PM"
orbit-Slc,"1,258,229",LOGIN,"June 3, 2026, 11:00 AM","214,685",5,5,5,5,0,"June 3, 2026, 8:18 PM"
orbit-Slc,"1,258,233",LOGIN,"June 3, 2026, 11:00 AM","4,405",5,5,5,5,0,"June 3, 2026, 7:15 PM"
orbit-Slc,"1,258,233",LOGIN,"June 3, 2026, 11:00 AM","5,775",5,5,5,5,0,"June 3, 2026, 7:30 PM"
orbit-Slc,"1,258,233",LOGIN,"June 3, 2026, 11:00 AM","237,125",5,5,5,5,0,"June 3, 2026, 8:07 PM"
orbit-Slc,"1,258,240",LOGIN,"June 3, 2026, 11:00 AM","63,325",5,5,5,5,0,"June 3, 2026, 1:10 PM"
orbit-Slc,"1,258,240",LOGIN,"June 3, 2026, 11:00 AM","60,885",5,5,5,5,0,"June 3, 2026, 5:11 PM"
orbit-Slc,"1,258,240",LOGIN,"June 3, 2026, 11:00 AM","201,420",5,5,5,5,0,"June 3, 2026, 7:10 PM"
orbit-Slc,"1,258,240",LOGIN,"June 3, 2026, 11:00 AM","42,415",5,5,5,5,0,"June 8, 2026, 3:53 PM"
orbit-Slc,"1,258,275",LOGOUT,"June 2, 2026, 10:00 PM","118,495",5,5,5,5,0,"June 3, 2026, 8:31 AM"
orbit-Slc,"1,258,275",LOGOUT,"June 2, 2026, 10:00 PM","15,275",5,5,5,5,0,"June 3, 2026, 9:46 AM"
orbit-Slc,"1,258,275",LOGOUT,"June 2, 2026, 10:00 PM","14,260",5,5,5,5,0,"June 5, 2026, 12:54 AM"
orbit-Slc,"1,258,280",LOGOUT,"June 2, 2026, 10:00 PM","162,370",5,5,5,5,0,"June 3, 2026, 9:43 AM"
orbit-Slc,"1,258,280",LOGOUT,"June 2, 2026, 10:00 PM","82,050",5,5,5,5,0,"June 3, 2026, 9:56 AM"
orbit-Slc,"1,258,289",LOGOUT,"June 2, 2026, 10:00 PM","278,890",5,5,5,5,5,"June 2, 2026, 11:12 PM"
orbit-Slc,"1,258,289",LOGOUT,"June 2, 2026, 10:00 PM","120,935",4,4,4,4,4,"June 2, 2026, 11:19 PM"
orbit-Slc,"1,258,289",LOGOUT,"June 2, 2026, 10:00 PM","225,740",5,5,5,5,5,"June 3, 2026, 10:23 AM"
orbit-Slc,"1,258,289",LOGOUT,"June 2, 2026, 10:00 PM","17,035",4,4,4,4,4,"June 4, 2026, 10:23 AM"
