business_unit,office,product_type,trip_date,shift_type,trip_id,trip_direction,actual_escort,vendor_id,planned_cab_registration,actual_cab_registration,actual_cab_capacity,planned_km,traveled_km,planned_start_epoch,planned_end_epoch,actual_start_epoch,actual_end_epoch,delay_reason,delay_minutes,route_source,actual_cab_fuel_type,is_driver_nc,is_cab_nc,trip_nodal,plannedemployee_cnt,actualemployee_cnt,noshow_cnt
catalyst-Sac,Santa Clara Office,CAB,"July 1, 2026",00:00,"1,516,906",LOGOUT,true,Rohan Mikhailov Travel,KNE 581 GP,KNE 581 GP,4,19.28,19.3,"1,782,864,900","1,782,865,980","1,782,864,858","1,782,869,605",NODELAY,0,AUTO,Petrol,false,false,NA,2,3,0
catalyst-Sac,Santa Clara Office,CAB,"July 1, 2026",00:00,"1,516,912",LOGOUT,true,Divya Mikhailov Travel,YHF 551 GP,YHF 551 GP,4,15.45,16.17,"1,782,864,900","1,782,866,700","1,782,864,879","1,782,867,835",NODELAY,0,AUTO,Petrol,false,false,NA,1,2,0
catalyst-Sac,Fairview Commons,CAB,"July 1, 2026",00:30,"1,516,895",LOGOUT,false,Vikram Mikhailov Travel,YEG 199 GP,YEG 199 GP,4,29.41,35.44,"1,782,866,700","1,782,869,700","1,782,866,486","1,782,870,157",NODELAY,0,AUTO,Petrol,false,false,NA,1,1,0
catalyst-Sac,Fairview Commons,CAB,"July 1, 2026",00:30,"1,516,898",LOGOUT,false,Arjun Mikhailov Travel,BVQ 893 GP,BVQ 893 GP,4,13.19,12.5,"1,782,866,700","1,782,867,900","1,782,866,322","1,782,867,729",NODELAY,0,AUTO,Petrol,false,false,NA,1,1,0
catalyst-Sac,Crestwood Campus,CAB,"July 1, 2026",00:30,"1,516,924",LOGOUT,true,Vikram Mikhailov Travel,NPA 667 GP,NPA 667 GP,4,25.15,25.1,"1,782,866,700","1,782,869,220","1,782,866,414","1,782,872,802",NODELAY,0,AUTO,Petrol,false,false,NA,1,2,0
catalyst-Sac,Santa Clara Office,CAB,"July 1, 2026",00:30,"1,516,931",LOGOUT,true,Rohan Mikhailov Travel,UIE 506 GP,UIE 506 GP,4,34.23,34.2,"1,782,866,700","1,782,869,940","1,782,866,601","1,782,874,182",NODELAY,0,AUTO,Petrol,false,false,NA,1,2,0
catalyst-Sac,Fairview Commons,CAB,"July 1, 2026",01:00,"1,517,003",LOGOUT,false,Sanjay Mikhailov Travel,DFI 357 GP,DFI 357 GP,4,5.83,5.51,"1,782,868,500","1,782,868,980","1,782,867,918","1,782,868,763",NODELAY,0,AUTO,Petrol,false,false,NA,2,2,0
catalyst-Sac,Crestwood Campus,CAB,"July 1, 2026",01:00,"1,517,009",LOGOUT,false,Vikram Mikhailov Travel,IBV 622 GP,IBV 622 GP,4,16.15,16.3,"1,782,868,500","1,782,869,940","1,782,868,399","1,782,869,947",NODELAY,0,AUTO,Petrol,false,false,NA,2,2,0
catalyst-Sac,Crestwood Campus,CAB,"July 1, 2026",01:00,"1,517,011",LOGOUT,false,Rohan Mikhailov Travel,NDB 525 GP,NDB 525 GP,4,31.52,33.1,"1,782,868,500","1,782,870,420","1,782,868,352","1,782,872,343",NODELAY,0,AUTO,Petrol,false,false,NA,2,2,0
catalyst-Sac,Santa Clara Office,CAB,"July 1, 2026",01:00,"1,517,015",LOGOUT,false,Divya Mikhailov Travel,JHJ 026 GP,JHJ 026 GP,6,13.32,12.82,"1,782,868,500","1,782,869,160","1,782,868,534","1,782,870,586",NODELAY,0,AUTO,Petrol,false,false,NA,6,6,0
